,company,station,percentlowralue
0,ACC Limited,stack1,0.8845990008906789
1,Aarti Steels Ltd,CEMS-1,0.8154541896769144
2,Action Ispat and Power (P) Ltd,CEMS-3,0.9990942028985508
3,Adhunik Metaliks Ltd.,CEMS-1,0.8395324123273114
4,Adhunik Metaliks Ltd.,CEMS-11,0.8822954822954823
5,Adhunik Metaliks Ltd.,CEMS-5,0.860317079029546
6,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,0.8600590687977763
7,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,0.9985686535119108
8,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,0.9481698094181709
9,Agrasen Sponge Private Limited,CEMS-1,0.9533045977011494
10,Agrasen Sponge Private Limited,CEMS-2,0.950563431479462
11,BILT Graphics Paper Products Ltd,CEMS-2,0.9988568242018682
12,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-1,1.0
13,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-3,1.0
14,Bhushan Power and Steel Limited,DRI-7,0.9968102073365231
15,Bhushan Power and Steel Limited,PelletPlant,1.0
16,Bhushan Power and Steel Limited,PelletPlant-2,0.8730183522061694
17,Bhushan Power and Steel Limited,WHRB-9,1.0
18,Bhushan Steel Limited,st1,1.0
19,Birla Tyres,CEMS-1,1.0
20,Birla Tyres,CEMS-2,0.9434632367057016
21,Emmami Paper Mills Limited,CEMS-3,0.8845343588028758
22,Essar Steel India Limited,CEMS-1,0.9177501325102111
23,"HINDALCO Ltd., FRP Plant",CEMS-1,0.8124923752592412
24,"HINDALCO Ltd.,Captive Power Plant",st1,0.8333333333333334
25,"HINDALCO Ltd.,Captive Power Plant",st5,0.9778349495349298
26,"HINDALCO Ltd.,Smelter Plant",st1,0.8220242411685487
27,"HINDALCO Ltd.,Smelter Plant",st2,0.8044042796302067
28,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),120MW Unit-2,0.9625777275296777
29,JK Paper LTD,CEMS-2,0.8710377244787273
30,Jai Balaji Jyoti Steels Limited,CEMS-1,0.9646739130434783
31,Jai Hanuman Udyog Ltd.,CEMS-1,0.9257007767646066
32,Jindal Stainless Ltd,CEMS-4,0.8410771546364767
33,Jindal Stainless Ltd,CEMS-5,1.0
34,Jindal Steel and Power Limited,CEMS-11,0.9999616872916747
35,Jindal Steel and Power Limited,CEMS-14,1.0
36,Jindal Steel and Power Limited,st5,0.9604414504801491
37,Kapilas Cement Manufacturing Works (A unit of OCL India Ltd),CEMS-1,0.9357135792701019
38,MSP Metalics Limited,CEMS-8,0.9973637961335676
39,Mideast Integrated Steels Ltd.,CEMS-1,1.0
40,Neelachal Ispat Nigam Limited,CEMS-1,0.800671209193532
41,"OCL India Ltd,Cement Unit",Stack-3,0.8612544971062099
42,Pawanjay Sponge Iron Limited,CEMS-1,1.0
43,Rourkela Steel Plant,CEMS-13,0.8183986371379898
44,Rourkela Steel Plant,CEMS-24,1.0
45,Sakthi Sugars Limited,CEMS-1,1.0
46,Samaleswari Ferro Metals Ltd,CEMS-1,1.0
47,Sesa Sterlite Ltd (IPP),CEMS-4,0.9710012558511245
48,Sesa Sterlite Ltd (Smelter and CPP),CEMS-11,0.9757743023612389
49,Sesa Sterlite Ltd (Smelter and CPP),CEMS-12,0.9997965618960432
50,Sesa Sterlite Ltd (Smelter and CPP),CEMS-13,0.9844466600199402
51,Sesa Sterlite Ltd (Smelter and CPP),CEMS-14,0.9880004137788352
52,Sesa Sterlite Ltd (Smelter and CPP),CEMS-16,0.9226309476209517
53,Sesa Sterlite Ltd (Smelter and CPP),CEMS-6,0.9761549925484352
54,Sesa Sterlite Ltd (Smelter and CPP),CEMS-8,0.8408836061897287
55,Sumrit Metaliks Pvt. Ltd.,CEMS-1,1.0
56,UltraTech Cement Ltd.,CEMS-2,0.9792153199439514
